기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
자본총계                                  38,333,741,000,000       34,808,220,000,000
자본총계                                  -1,901,538,000,000       -1,236,060,000,000
자본총계                                   2,090,558,000,000        2,090,558,000,000
자본총계                                  16,633,518,000,000       16,646,734,000,000

기업명: 신한지주
기업 고유번호: 00382199
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
현금 및 상각후원가측정예치금              39,742,605,000,000       40,525,712,000,000
상각후원가측정대출채권                   464,773,880,000,000      449,295,238,000,000
상각후원가측정유가증권                    31,944,368,000,000       33,315,999,000,000
기타포괄손익-공정가치측정유가증권        103,216,950,000,000       93,805,369,000,000
자산총계                                 786,013,485,000,000      739,764,256,000,000
당기법인세자산                                68,609,000,000           54,658,000,000
이연법인세자산                               209,718,000,000          205,506,000,000
파생상품자산                               7,153,950,000,000       10,279,257,000,000
당기손익-공정가치측정금융자산             78,053,377,000,000       72,146,845,000,000
보험계약자산                                     760,000,000            5,639,000,000
무형자산                                   5,893,158,000,000        6,120,133,000,000
관계기업에 대한 투자자산                   2,639,202,000,000        2,752,980,000,000
투자부동산                                   611,620,000,000          327,696,000,000
매각예정자산                                  71,212,000,000           29,583,000,000
기타자산                                  46,524,351,000,000       26,401,598,000,000
유형자산                                   4,153,186,000,000        4,157,592,000,000
순확정급여자산                               353,097,000,000          155,697,000,000
재보험계약자산                               603,442,000,000          184,754,000,000
자본총계                                  60,372,324,000,000       58,821,033,000,000
지배기업 소유주지분                       57,959,272,000,000       56,053,756,000,000
자본조정                                  -1,180,080,000,000         -807,114,000,000
자본잉여금                                12,098,558,000,000       12,094,968,000,000
신종자본증권                               4,749,837,000,000        4,600,121,000,000
기타포괄손익누계액                        -2,474,813,000,000       -1,824,440,000,000
자본금                                     2,969,641,000,000        2,969,641,000,000
이익잉여금                                41,796,129,000,000       39,020,580,000,000
비지배지분                                 2,413,052,000,000        2,767,277,000,000
자본과부채총계                           786,013,485,000,000      739,764,256,000,000
사채                                      92,991,422,000,000       93,765,854,000,000
당기법인세부채                               763,377,000,000          203,131,000,000
이연법인세부채                               446,799,000,000          423,821,000,000
예수부채                                 447,648,971,000,000      422,781,045,000,000
파생상품부채                               7,020,846,000,000       10,058,532,000,000
당기손익-공정가치측정금융부채              2,312,487,000,000          954,899,000,000
당기손익-공정가치측정지정금융부채          6,378,064,000,000        8,220,475,000,000
보험계약부채                              50,471,303,000,000       51,124,629,000,000
투자계약부채                               1,536,393,000,000        1,165,022,000,000
부채총계                                 725,641,161,000,000      680,943,223,000,000
매각예정부채                                   1,465,000,000                        0
차입부채                                  55,394,834,000,000       49,920,373,000,000
기타부채                                  59,237,657,000,000       40,879,509,000,000
충당부채                                   1,363,345,000,000        1,308,896,000,000
순확정급여부채                                17,820,000,000           38,974,000,000
재보험계약부채                                56,378,000,000           98,063,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 44개

[현금흐름표 (CF)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기초의 현금 및 현금성자산                 35,247,543,000,000       30,416,884,000,000
기말의 현금 및 현금성자산                 35,295,123,000,000       35,247,543,000,000
매각예정자산에 포함된 현금및현금...            3,309,000,000                        0
재무활동순현금흐름                         1,250,645,000,000         -182,650,000,000
당기손익-공정가치측정지정금융부...            50,000,000,000                        0
당기손익-공정가치측정지정금융부...            99,985,000,000                        0
신종자본증권의 발행                          797,870,000,000          797,866,000,000
신종자본증권의 상환                          650,000,000,000          200,000,000,000
위험회피활동으로 인한 현금유출             2,556,770,000,000        2,655,404,000,000
위험회피활동으로 인한 현금유입             2,705,549,000,000        2,774,765,000,000
기타부채의 감소                               95,556,000,000           61,797,000,000
비지배지분의 증감                           -547,355,000,000           54,717,000,000
기타부채의 증가                                            0                        0
전환우선주 전환비용                                        0                        0
차입부채의 증감                            5,125,412,000,000       -8,231,239,000,000
자기주식의 소각 비용                              69,000,000              102,000,000
배당금의 지급                              1,293,828,000,000        1,267,146,000,000
리스부채의 상환                              281,530,000,000          272,634,000,000
자기주식의 취득                            1,250,001,000,000          700,000,000,000
사채의 발행                               44,481,665,000,000       54,660,582,000,000
자기주식의 처분                                            0              297,000,000
사채의 상환                               45,234,727,000,000       45,082,555,000,000
투자활동순현금흐름                       -10,903,780,000,000          148,533,000,000
당기손익-공정가치측정금융상품의 ...        4,584,365,000,000        5,846,223,000,000
상각후원가측정유가증권의 감소              7,073,830,000,000        7,646,004,000,000
기타포괄손익-공정가치측정유가증...        50,955,576,000,000       44,576,886,000,000
당기손익-공정가치측정금융상품의 ...        4,963,361,000,000        7,043,560,000,000
상각후원가측정유가증권의 취득              5,478,916,000,000        5,109,510,000,000
기타포괄손익-공정가치측정유가증...        61,673,847,000,000       44,514,955,000,000
사업결합에 따른 순현금흐름                  -124,004,000,000                        0
지배력상실로 인한 순현금유입                  98,267,000,000                        0
지배력획득으로 인한 순현금유출               947,246,000,000                        0
위험회피활동으로 인한 현금유출               265,683,000,000          236,988,000,000
위험회피활동으로 인한 현금유입                42,920,000,000           50,300,000,000
기타자산의 증감                               -5,264,000,000           31,741,000,000
매각예정자산의 처분                           48,867,000,000                        0
무형자산의 처분                               14,445,000,000            8,102,000,000
관계기업에 대한 투자자산의 처분              601,006,000,000          326,439,000,000
투자부동산의 처분                              9,128,000,000            5,281,000,000
유형자산의 처분                                7,729,000,000            6,652,000,000
무형자산의 취득                              378,410,000,000          514,938,000,000
관계기업에 대한 투자자산의 취득              239,959,000,000          662,106,000,000
투자부동산의 취득                              4,564,000,000            3,202,000,000
유형자산의 취득                              258,659,000,000          263,836,000,000
영업활동순현금흐름                         9,730,881,000,000        4,626,299,000,000
영업에서 창출된 현금흐름                  -1,684,132,000,000       -7,858,342,000,000
자산ㆍ부채의 증감                            259,242,000,000       -5,309,757,000,000
상각후원가 측정 예치금                       731,113,000,000         -408,314,000,000
상각후원가측정대출채권                   -17,106,486,000,000      -34,952,582,000,000
재보험계약자산                              -418,688,000,000          -96,401,000,000
보험계약부채                                -409,819,000,000         -916,060,000,000
충당부채                                    -169,300,000,000         -505,457,000,000
당기손익-공정가치측정예치금                    1,053,000,000           -5,418,000,000
파생상품                                     378,311,000,000          -83,294,000,000
당기손익-공정가치측정지정금융상품         -1,853,330,000,000          379,352,000,000
보험계약자산                                   4,879,000,000            5,015,000,000
당기손익-공정가치측정대출채권                380,767,000,000         -138,009,000,000
재보험계약부채                              -226,184,000,000              936,000,000
